电影名,电影网址,导演,编剧,主演,评分,评分人数,评分额外信息,类型,制片国家/地区,语言,上映时间,时长,剧情简介,获奖情况,热门评论,海报链接,海报保存路径,剧照链接,剧照保存路径,视频链接,视频保存路径
红胡子 赤ひげ,https://movie.douban.com/subject/1296679/,黑泽明,井手雅人/小国英雄/菊岛隆三/黑泽明/山本周五郎,"['三船敏郎', '加山雄三', '山崎努', '团令子', '桑野美雪']",8.8,12678,好于95%剧情片,剧情,日本,日语,1965-04-03(日本),185分钟,刚毕业的医学院学生保本（加山雄三 Yuzo Kayama 饰），在父亲的介绍下，来到穷乡僻壤的小石川诊所实习。他的老师是一位被称作红胡子（三船敏郎 Toshiro Mifune 饰）的古怪医师。起初，向往长崎的保本对这个贫民窟厌恶之极，并迁怒于红胡子，觉得自己受骗上当，无用武之地。红胡子是这里远近闻名的杏林高手，他没有对保本提什么要求，而是默默地行医，不畏权贵，不计酬劳，手下治愈的病人不计其数，其中包括因受虐精神失常的少妇（香川京子 Kyôko Kagawa 饰），因酗酒导致半身麻木的醉汉，因被贩卖至青楼身患性病的雏妓等等。在协助红胡子救死扶伤的过程中，保本逐渐发现了医德的重要，并修正了自己的人生态度……,"['主竞赛单元 金狮奖 (提名)', '沃尔皮杯 最佳男演员']",[],"['https://img1.doubanio.com/view/photo/m/public/p2572893188.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2572893187.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2633639199.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2555469619.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2215875666.jpg']",./data3/post_video/黑泽明/红胡子 赤ひげ/image,"['https://img3.doubanio.com/view/photo/sqxs/public/p2371748080.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2371747478.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2371748225.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2371747614.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2371747074.jpg']",./data3/post_video/黑泽明/红胡子 赤ひげ/image,[],./data3/post_video/黑泽明/红胡子 赤ひげ/video
袅袅夕阳情 まあだだよ,https://movie.douban.com/subject/1298754/,黑泽明,黑泽明/本多猪四郎/内田百闲,"['松村达雄', '香川京子', '井川比佐志', '所乔治', '油井昌由树']",8.3,7432,好于83%剧情片,剧情,日本,日语/英语,1993-04-17(日本),134分钟,该片讲述了一个充满生命情趣的教师内田毅然辞去大学教书职务，一心在家从事写作之后发生的一连串生活趣事。内田深受学生们的爱戴，学生们每年都会为老师举办生日会。每年的生日会上，学生们都会问老师“准备好了吗？”，而内田的回答则永远是“还没”。内田对生死的豁达也深深地影响着自己的学生们，时刻提醒着学生们要有一个健康积极的心态。教授的猫丢了一直哭，学生们赶紧去看望他，为他到处找猫，还到学校等地方发传单，在报纸上登启事，希望能够帮助老师找回猫咪，重拾笑颜。浓厚的师生情贯穿全片。影片结尾，内田在生日宴后入睡，外面学生在畅饮交谈，他已近暮年的梦里是孩童时在稻草堆里捉迷藏的场景，一大堆孩子连连喊着藏好没，他连连回答“还没还没”。,"['最佳男主角(提名)', '最佳男配角(提名)', '最佳女配角']",[],"['https://img9.doubanio.com/view/photo/m/public/p2031639015.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2555467742.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2869603742.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2215881872.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2215881707.jpg']",./data3/post_video/黑泽明/袅袅夕阳情 まあだだよ/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p997610815.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2627355356.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2555467744.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2555467741.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2185143964.jpg']",./data3/post_video/黑泽明/袅袅夕阳情 まあだだよ/image,['https://vt1.doubanio.com/202204291103/18cc6c9df9299f37d2521bc20213d763/view/movie/M/402570488.mp4'],./data3/post_video/黑泽明/袅袅夕阳情 まあだだよ/video
天国与地狱 天国と地獄,https://movie.douban.com/subject/1293663/,黑泽明,小国英雄/菊岛隆三/久板荣二郎/黑泽明/伊万·亨特,"['三船敏郎', '仲代达矢', '香川京子', '三桥达也', '木村功']",8.7,13615,"好于97%犯罪片,好于93%剧情片",剧情/犯罪,日本,日语,1963-03-01(日本),143分钟,在权藤今吾（三船敏郎 Toshiro Mifune）家里，举行了一场关于民族鞋业的董事会议，讨论关于新鞋的质量问题。权藤发表的意见慷慨激昂，他觉得不应该只顾降低成本提高利润，而忽视了鞋子本身的质量。此番言论显然跟其他人急功近利的理念大相径庭，因此其他人合谋决定罢黜他的董事会职位，由某个听话的傀儡顶替。当晚，权藤司机的儿子突然遭到绑架，绑匪以为他是权藤的儿子，因此向权藤勒索3000万元赎金。面对妻子（香川京子 Kyôko Kagawa 饰）的劝解，深陷困境的权藤只得被迫就范，结果犯人用障眼法，避开了探长（仲代达矢 Tatsuya Nakadai 饰）的耳目，成功取走现金，丝毫不留痕迹。破财的权藤还要面临公司和债主的双重威逼。而警方则在绑架地发现了一对因吸食毒品死亡的恋人。然而，这还只是罪犯阴谋的开始……,"['主竞赛单元 金狮奖 (提名)', '电影类 最佳外语片(提名)']",[],"['https://img9.doubanio.com/view/photo/m/public/p2302810264.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2209964156.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2079024648.jpg', 'https://img3.doubanio.com/view/photo/m/public/p1708487390.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2621020573.jpg']",./data3/post_video/黑泽明/天国与地狱 天国と地獄/image,"['https://img1.doubanio.com/view/photo/sqxs/public/p2521317028.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2634436184.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2674387167.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p2674262650.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p2642757120.jpg']",./data3/post_video/黑泽明/天国与地狱 天国と地獄/image,[],./data3/post_video/黑泽明/天国与地狱 天国と地獄/video
德尔苏·乌扎拉 Дерсу Узала,https://movie.douban.com/subject/1300034/,黑泽明,黑泽明/VladimirArseniev/尤里·纳吉宾,"['马克西姆·蒙祖克', '尤里·索洛明', '斯韦特兰娜·丹尼尔琴科']",8.4,7241,"好于86%剧情片,好于91%冒险片",剧情/冒险,苏联/日本,俄语,1975-08-02(日本),141分钟,INF,['最佳外语片'],[],"['https://img1.doubanio.com/view/photo/m/public/p2206328338.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2492535505.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2555468793.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2555468792.jpg', 'https://img3.doubanio.com/view/photo/m/public/p2555468790.jpg']",./data3/post_video/黑泽明/德尔苏·乌扎拉 Дерсу Узала/image,"['https://img2.doubanio.com/view/photo/sqxs/public/p2555468931.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2867189013.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2867189019.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2867189015.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2555469023.jpg']",./data3/post_video/黑泽明/德尔苏·乌扎拉 Дерсу Узала/image,[],./data3/post_video/黑泽明/德尔苏·乌扎拉 Дерсу Узала/video
电车狂 どですかでん,https://movie.douban.com/subject/1303077/,黑泽明,黑泽明/小国英雄/桥本忍/山本周五郎,"['头师佳孝', '菅井琴', '殿村敏之', '三波伸介', '楠侑子']",8.0,6393,好于72%剧情片,剧情,日本,日语,1970-10-31(日本),140分钟,INF,"['最佳外语片(提名)', '天主教人道精神奖']",[],"['https://img1.doubanio.com/view/photo/m/public/p2528848849.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2555469321.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2615710245.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2197605527.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2615710452.jpg']",./data3/post_video/黑泽明/电车狂 どですかでん/image,"['https://img3.doubanio.com/view/photo/sqxs/public/p453341720.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2555469322.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2555469318.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2555469317.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p2171071970.jpg']",./data3/post_video/黑泽明/电车狂 どですかでん/image,[],./data3/post_video/黑泽明/电车狂 どですかでん/video
美好的星期天 素晴らしき日曜日,https://movie.douban.com/subject/1295751/,黑泽明,黑泽明/植草圭之助,"['沼崎勋', '中北千枝子', '渡边笃', '中村是好', '内海突破']",7.6,2335,"好于70%爱情片,好于53%剧情片",剧情/爱情,日本,日语,1947-07-01(日本),108分钟,黑泽明电影的出场人物大都是盛气凌人的武士，但本片却一反常态，用愉快的笔触，写一对年轻充满忧愁的恋人在星期天怎样把种种烦恼抛诸脑后的经过。影片又是日本电影中第一部直接反映出年轻人对性的感受的作品，男主角雄造向情人昌子求爱的情节，令当时年轻观众看得意马心猿。一对小情人在废墟中幻想著未来经营小餐馆的场面，也叫人看得心往神怡。,INF,[],"['https://img2.doubanio.com/view/photo/m/public/p2346570543.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2083814357.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2058717859.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2632724134.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2632724133.jpg']",./data3/post_video/黑泽明/美好的星期天 素晴らしき日曜日/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p2632724136.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2632724135.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2175787664.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p1306663362.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2588050788.jpg']",./data3/post_video/黑泽明/美好的星期天 素晴らしき日曜日/image,[],./data3/post_video/黑泽明/美好的星期天 素晴らしき日曜日/video
姿三四郎,https://movie.douban.com/subject/1300208/,黑泽明,黑泽明/富田常雄,"['大河内传次郎', '藤田进', '轰夕起子', '月形龙之介', '志村乔']",7.5,9800,"好于77%动作片,好于51%剧情片",剧情/动作/冒险,日本,日语,1943-03-25(日本),79分钟,明治十五年，柔道爱好者姿三四郎（藤田进 饰），无意中目睹了门马党与修道馆之战。修道馆馆主矢野本五郎凭借一己之力，以柔道击败门马党众，令姿三四郎心悦诚服，拜其为师。然而，矢野觉得他生性好斗，出尔反尔，有意考验他的耐性。姿三四郎幸得老僧的 指点，抱树入水沉溺多日，终于领悟师傅教诲。在老师的调教下，姿三四郎的柔道突飞猛进，对门马党一战成名。此时，一位不速之客前来挑衅，姿三四郎正欲挺身而出，却被对方拒绝，相约后会有期。此后，姿三四郎遇到了美女小夜（轰夕起子 饰）并坠入爱河，却没想到比武对手竟是她的父亲——柔术大师村井（志村乔 饰）……,INF,[],"['https://img1.doubanio.com/view/photo/m/public/p2867731958.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2346568022.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2166773243.jpg', 'https://img3.doubanio.com/view/photo/m/public/p647106700.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2540046146.jpg']",./data3/post_video/黑泽明/姿三四郎/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p2236393194.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2550986461.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p2550986460.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2550986459.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2550986458.jpg']",./data3/post_video/黑泽明/姿三四郎/image,[],./data3/post_video/黑泽明/姿三四郎/video
八月狂想曲 八月の狂詩曲,https://movie.douban.com/subject/1302619/,黑泽明,黑泽明/本多猪四郎/村田喜代子,"['村濑幸子', '井川比佐志', '茅岛成美', '大宝智子', '伊崎充则']",7.5,6391,好于50%剧情片,剧情,日本,日语,1991-05-25(日本),98分钟,本片以长崎作为本片的拍摄背景。透过四个孩子的眼睛，记录了麻麻获旅居美国七十年的兄长邀请前往夏威夷，以圆兄妹团聚的美梦。然而麻麻的亡夫多年前被原子弹炸死，这事令麻麻梗梗于怀，迟迟未答应前往相聚，藉著美日混血的侄儿到访，一场缠绕四十多年的 仇恨，终于得到解结。全片清新怡人， 笑中有泪。,"['最佳影片(提名)', '最佳导演(提名)', '最佳编剧(提名)']",[],"['https://img2.doubanio.com/view/photo/m/public/p1196518213.jpg', 'https://img1.doubanio.com/view/photo/m/public/p1590633839.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2532311446.jpg', 'https://img2.doubanio.com/view/photo/m/public/p1590624711.jpg', 'https://img1.doubanio.com/view/photo/m/public/p1590623399.jpg']",./data3/post_video/黑泽明/八月狂想曲 八月の狂詩曲/image,"['https://img2.doubanio.com/view/photo/sqxs/public/p2546444312.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2546444314.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2546444513.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2546444316.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2546444245.jpg']",./data3/post_video/黑泽明/八月狂想曲 八月の狂詩曲/image,[],./data3/post_video/黑泽明/八月狂想曲 八月の狂詩曲/video
战国英豪 隠し砦の三悪人,https://movie.douban.com/subject/1303110/,黑泽明,菊岛隆三/小国英雄/桥本忍/黑泽明,"['三船敏郎', '千秋实', '藤原釜足', '藤田进', '志村乔']",8.4,12709,"好于86%剧情片,好于91%冒险片",剧情/冒险,日本,日语,1958-12-28(日本),139分钟,元龟二年夏，早川的又七（藤原釜足 饰）、太平（千秋实 饰）被困秋月无法返家，只因秋月战败于山名，故山名重兵把守秋月早川的边境以防秋月的雪姬（上原美佐 饰）逃亡。二人在山中遇见了秋月武士真壁六郎太（三船敏郎 饰）和雪姬，并在不知对方真实身份的情况下与其共同运送木柴取道山名向早川进发，只因觊觎藏在木柴里的金条。真壁的计谋帮助四人顺利通过了秋月山名的边关，而雪姬不忍看秋月女子（樋口年子 饰）在山名受辱，命真壁赎之。五人运木柴赶路，忽被四名山名兵盘查。真壁当机立断杀死两人，又飞身上马追杀逃掉的两人。一路追至敌营，遇见了山名武士田所兵卫（藤田进 饰）。二人相见恨晚，较量许久，难分高下……,"['金熊奖 最佳影片(提名)', '银熊奖 最佳导演', '费比西奖（国际影评人联盟奖）']",[],"['https://img1.doubanio.com/view/photo/m/public/p2102884387.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2640473318.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2462022954.jpg', 'https://img9.doubanio.com/view/photo/m/public/p855747915.jpg', 'https://img3.doubanio.com/view/photo/m/public/p2546685060.jpg']",./data3/post_video/黑泽明/战国英豪 隠し砦の三悪人/image,"['https://img1.doubanio.com/view/photo/sqxs/public/p2497202907.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2605777672.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2702211119.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2497202913.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2605777675.jpg']",./data3/post_video/黑泽明/战国英豪 隠し砦の三悪人/image,[],./data3/post_video/黑泽明/战国英豪 隠し砦の三悪人/video
泥醉天使 醉いどれ天使,https://movie.douban.com/subject/1294859/,黑泽明,植草圭之助/黑泽明,"['志村乔', '三船敏郎', '山本礼三郎', '木暮实千代', '中北千枝子']",8.1,10343,"好于76%剧情片,好于88%犯罪片",剧情/犯罪,日本,日语,1948-04-27(日本),98分钟,战败后的日本，真田（志村乔饰）是名喜欢喝酒的贫民社区医生，他擅长治疗肺结核。一天黑社会头目松永（三船敏郎饰）由于手上受伤找他治疗，谁知被真田看出了肺结核的症状。他劝松永去照X光检查一下，可松永不愿接受自己生病的事实，反而大骂真田一通并争执起来。但是松永回去以后症状越来越严重，拍片后证实确实是肺结核，嘴上逞强的他还是接受了真田的治疗。然而，松永的黑社会大哥冈田（山本礼三郎饰）从监狱里出来，他逐渐取代松永在黑帮里的位置并拥有了一切，病入膏肓的松永只能孤注一掷……,INF,[],"['https://img2.doubanio.com/view/photo/m/public/p2868988773.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2346571516.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2535464426.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2545036557.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2102687702.jpg']",./data3/post_video/黑泽明/泥醉天使 醉いどれ天使/image,"['https://img3.doubanio.com/view/photo/sqxs/public/p2521315460.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2631911782.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2612515671.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p2612515540.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2521315429.jpg']",./data3/post_video/黑泽明/泥醉天使 醉いどれ天使/image,[],./data3/post_video/黑泽明/泥醉天使 醉いどれ天使/video
静夜之决斗 静かなる決闘,https://movie.douban.com/subject/1307988/,黑泽明,黑泽明/谷口千吉/菊田一夫,"['三船敏郎', '志村乔', '三条美纪', '植村谦二郎', '中北千枝子']",7.6,1659,INF,剧情,日本,日语,1949-03-13(日本),95分钟,1944年，第二次世界大战正是如火如荼的惨烈时刻。在南洋某个日军战地医院里，军医藤崎恭二（三船敏郎 饰）与同事们夜以继日，不辞疲倦，争分夺秒地抢救每一个伤员。然而厄运突然降临，藤崎的手不慎划上，更被梅毒携带者中田进（植村謙二郎 饰）的污血所感染。战争结束后，藤崎回到父亲孝之辅（志村喬 饰）的医院工作，虽然已有美丽的未婚妻美佐绪（三條美紀 饰），但是他不愿牵连爱人，因此不断推迟婚期，更决定与美佐绪分手。他保守着身患梅毒的秘密，一面与病魔作着悄寂无声的斗争，一面在医者的道路上艰难前行……本片根据菊田一夫的原作改编。,INF,[],"['https://img2.doubanio.com/view/photo/m/public/p2632724203.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2166208039.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2310672319.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2632724202.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2545035431.jpg']",./data3/post_video/黑泽明/静夜之决斗 静かなる決闘/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p2633500786.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2571373908.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2640548563.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2633500785.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2633264521.jpg']",./data3/post_video/黑泽明/静夜之决斗 静かなる決闘/image,[],./data3/post_video/黑泽明/静夜之决斗 静かなる決闘/video
恶汉甜梦 悪い奴ほどよく眠る,https://movie.douban.com/subject/1297589/,黑泽明,小国英雄/久板荣二郎/黑泽明/菊岛隆三/桥本忍,"['三船敏郎', '森雅之', '香川京子', '三桥达也', '志村乔']",8.4,7065,"好于94%犯罪片,好于86%剧情片",剧情/惊悚/犯罪,日本,日语,1960-09-15(日本),151分钟,这部惊险报仇片剧情复杂，线索纵横交错，黑泽明通过一宗贿赂事件，无情地揭露了日本官商界的黑暗，对人性的丑恶一面刻划得入木三分。在构图方面，黑泽明控制得更完美无瑕，通道、楼梯、房间的排列、镜的摆设，以至瓦砾堆的空间布置，都拍得均整有致，计算得惊人地准确。,['金熊奖 最佳影片(提名)'],[],"['https://img9.doubanio.com/view/photo/m/public/p2568220035.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2346574218.jpg', 'https://img3.doubanio.com/view/photo/m/public/p2205014870.jpg', 'https://img3.doubanio.com/view/photo/m/public/p2540483540.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2535464879.jpg']",./data3/post_video/黑泽明/恶汉甜梦 悪い奴ほどよく眠る/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p2521316006.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p2610069820.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2521316008.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2521316005.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2521316004.jpg']",./data3/post_video/黑泽明/恶汉甜梦 悪い奴ほどよく眠る/image,[],./data3/post_video/黑泽明/恶汉甜梦 悪い奴ほどよく眠る/video
姿三四郎续集 続姿三四郎,https://movie.douban.com/subject/1300985/,黑泽明,黑泽明/富田常雄,"['大河内传次郎', '藤田进', '月形龙之介', '河野秋武', '轰夕起子']",6.6,1375,"好于46%动作片,好于37%冒险片",动作/冒险,日本,日语,1945-05-03(日本),83分钟,由于比武，被自己打成重伤的柔术大师村井离开了人世。姿三四郎（藤田进 饰）觉得心中愧疚，无法面对爱人，所以远走他乡。当他重新踏上故土，却路遇美国大兵欺负弱小平民，正义凛然的他挺身而出，击退了不可一世的美国人。此后，他发现了很多在利用功夫 谋生而不是弘扬武学真义。在拳击比赛现场，他赫然见到一位武学泰斗要跟美国拳击手过招，只为用出场费养活生计。姿三四郎的内心非常挣扎，他觉得有必要为重塑武学精神做些事情。他破了三戒：喝酒、打斗、并在公开场地表演，只为重新打破某种陈规瓶颈，树立柔道之新意义。这时，两位空手道拳手前来挑衅，他们的父亲因为跟姿三四郎的比武而身受重伤，所以他们苦心修炼发誓报仇，一番龙争虎斗迫在眉睫……,INF,[],"['https://img1.doubanio.com/view/photo/m/public/p2346568477.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2078207979.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2540046613.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2540046616.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2310672048.jpg']",./data3/post_video/黑泽明/姿三四郎续集 続姿三四郎/image,"['https://img1.doubanio.com/view/photo/sqxs/public/p2570147319.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2570147318.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2570147317.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2570147316.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2337277213.jpg']",./data3/post_video/黑泽明/姿三四郎续集 続姿三四郎/image,[],./data3/post_video/黑泽明/姿三四郎续集 続姿三四郎/video
最美 一番美しく,https://movie.douban.com/subject/1308301/,黑泽明,黑泽明,"['志村乔', '清川荘司', '菅井一郎', '入江隆子', '矢口洋子']",5.4,480,INF,剧情,日本,日语,1944-04-13(日本),85分钟,太平洋战争末期，日本政府将年轻女子组织成「女子挺身队」到工厂生产武器，本片就是描写一群女子为国家附出热情的故事。,INF,[],"['https://img2.doubanio.com/view/photo/m/public/p2575322943.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2540046493.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2545035292.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2540046495.jpg', 'https://img3.doubanio.com/view/photo/m/public/p2312329870.jpg']",./data3/post_video/黑泽明/最美 一番美しく/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p2575322944.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2575322942.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2575322941.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2575322924.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2677945869.jpg']",./data3/post_video/黑泽明/最美 一番美しく/image,[],./data3/post_video/黑泽明/最美 一番美しく/video
丑闻 醜聞,https://movie.douban.com/subject/1293162/,黑泽明,菊岛隆三/黑泽明,"['三船敏郎', '李香兰', '桂木洋子', '千石规子', '小泽荣太郎']",7.3,3310,好于40%剧情片,剧情,日本,日语/英语,1950-04-30(日本),104分钟,清江一郎（三船敏郎 饰）是一名青年画家，某日，在写生的途中，一郎偶然遇见了名为西条美也子（李香兰 饰）的著名歌星，一郎帮了美也子一个忙，两人共乘一辆摩托车，结伴而行。令两人没有想到的是，这一幕竟然被一个八卦记者拍摄了下来，并且对此大做文章，内容粗鄙下流，完全是空穴来风。不实的新闻报道令一郎和美也子名誉受损，愤怒的两人决定将小报记者告上法庭。之后，一位名不见经传的小律师找到了一郎，声称自己愿意免费为他们辩护。律师的女儿患有肺结核病，急需钱来治病，无奈之中，律师接受了被告方的贿赂，在法庭上倒打一耙，一郎和美也子瞬间陷入了不利的地位之中。,INF,[],"['https://img1.doubanio.com/view/photo/m/public/p2640528079.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2390991412.jpg', 'https://img3.doubanio.com/view/photo/m/public/p1960083870.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2540035759.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2540035756.jpg']",./data3/post_video/黑泽明/丑闻 醜聞/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p2507555394.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2615160011.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2614882048.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2614882047.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2614882046.jpg']",./data3/post_video/黑泽明/丑闻 醜聞/image,[],./data3/post_video/黑泽明/丑闻 醜聞/video
白痴,https://movie.douban.com/subject/1293017/,黑泽明,久板荣二郎/黑泽明/费奥多尔·陀思妥耶夫斯基,"['原节子', '森雅之', '三船敏郎', '久我美子', '志村乔']",6.9,2239,"好于27%剧情片,好于45%爱情片",剧情/爱情,日本,日语,1951-05-23(日本),166 分钟,二战后的某个冬夜，在北海道的渡轮上，性格张扬的复员兵赤间（三船敏郎 Toshiro Mifune 饰）遇到了宅心仁厚的龟田（森雅之 Masayuki Mori 饰）。赤间被龟田的简单真挚打动，于是二人成了朋友，赤间对龟田讲述了自己的一段旧日恋情，博得了龟田的同情。在某商店的橱窗口，两人驻足停留，只为一幅女明星的画像。赤间觉得女人笑得灿烂而阳光，龟田却说从中看到了她的苦闷。龟田来到大野家寄宿，得知大野即将成婚。事实上，他真正爱的是新娘的妹妹绫子，但为了60万日元甘愿违心接受婚姻。绫子的性格直爽，爱憎分明，她通过大野托龟田传来的书信认清了对方的本质，转而对善良的龟田产生了好感。在大野夫妇上门认亲的时候，赤间意外邂逅了旧日恋人妙子（原节子 Setsuko Hara 饰），一场没有硝烟的情感战争从此打响……,INF,[],"['https://img2.doubanio.com/view/photo/m/public/p2215885171.jpg', 'https://img2.doubanio.com/view/photo/m/public/p647944562.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2058720797.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2540035848.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2540035846.jpg']",./data3/post_video/黑泽明/白痴/image,"['https://img3.doubanio.com/view/photo/sqxs/public/p2414426330.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2414426344.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2606092377.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p2651695960.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2651695958.jpg']",./data3/post_video/黑泽明/白痴/image,[],./data3/post_video/黑泽明/白痴/video
